 element_id,node_1_id,node_2_id,node_3_id
1,1,36,13
2,36,473,13
3,36,37,473
4,37,475,473
5,37,38,475
6,38,478,475
7,38,39,478
8,39,482,478
9,39,40,482
10,40,487,482
11,40,41,487
12,41,493,487
13,41,42,493
14,42,500,493
15,42,43,500
16,43,508,500
17,43,44,508
18,44,517,508
19,44,45,517
20,45,527,517
21,45,46,527
22,46,538,527
23,46,47,538
24,47,550,538
25,47,48,550
26,48,563,550
27,48,49,563
28,49,577,563
29,49,50,577
30,50,592,577
31,50,51,592
32,51,608,592
33,51,52,608
34,52,625,608
35,52,53,625
36,53,643,625
37,53,54,643
38,54,662,643
39,54,55,662
40,55,682,662
41,55,56,682
42,56,703,682
43,56,57,703
44,57,725,703
45,57,58,725
46,58,748,725
47,58,3,748
48,3,174,748
49,13,473,14
50,473,474,14
51,473,475,474
52,475,477,474
53,475,478,477
54,478,481,477
55,478,482,481
56,482,486,481
57,482,487,486
58,487,492,486
59,487,493,492
60,493,499,492
61,493,500,499
62,500,507,499
63,500,508,507
64,508,516,507
65,508,517,516
66,517,526,516
67,517,527,526
68,527,537,526
69,527,538,537
70,538,549,537
71,538,550,549
72,550,562,549
73,550,563,562
74,563,576,562
75,563,577,576
76,577,591,576
77,577,592,591
78,592,607,591
79,592,608,607
80,608,624,607
81,608,625,624
82,625,642,624
83,625,643,642
84,643,661,642
85,643,662,661
86,662,681,661
87,662,682,681
88,682,702,681
89,682,703,702
90,703,724,702
91,703,725,724
92,725,747,724
93,725,748,747
94,748,770,747
95,748,174,770
96,174,175,770
97,14,474,15
98,474,476,15
99,474,477,476
100,477,480,476
101,477,481,480
102,481,485,480
103,481,486,485
104,486,491,485
105,486,492,491
106,492,498,491
107,492,499,498
108,499,506,498
109,499,507,506
110,507,515,506
111,507,516,515
112,516,525,515
113,516,526,525
114,526,536,525
115,526,537,536
116,537,548,536
117,537,549,548
118,549,561,548
119,549,562,561
120,562,575,561
121,562,576,575
122,576,590,575
123,576,591,590
124,591,606,590
125,591,607,606
126,607,623,606
127,607,624,623
128,624,641,623
129,624,642,641
130,642,660,641
131,642,661,660
132,661,680,660
133,661,681,680
134,681,701,680
135,681,702,701
136,702,723,701
137,702,724,723
138,724,746,723
139,724,747,746
140,747,769,746
141,747,770,769
142,770,791,769
