 node_id,x_nm,y_nm,z_nm,phi_mV,charge_C_m2
1,3.68360000000,3.86910000000,4.28190000000,18.8792114771,0.725234440235E-01
2,5.22290919571,3.86910000000,3.33055459786,-47.7185739485,-0.700307325506E-01
3,4.15927270107,5.33307004117,3.33055459786,-108.178655685,-0.272750942405
4,2.43827270107,4.77388324396,3.33055459786,76.0989137778,0.118192391934
5,2.43827270107,2.96431675604,3.33055459786,37.1750793251,0.835708475992E-01
6,4.15927270107,2.40512995883,3.33055459786,5.26968699051,0.581857124782E-02
7,3.68360000000,3.86910000000,0.839900000000,-37.7461994220,-0.703113611229E-01
8,2.14429080429,3.86910000000,1.79124540214,77.2570780774,0.226678020757
9,3.20792729893,2.40512995883,1.79124540214,62.9403015412,0.127130851546
10,4.92892729893,2.96431675604,1.79124540214,11.8455271270,0.140041924856E-01
11,4.92892729893,4.77388324396,1.79124540214,60.5758701809,0.153609652629
12,3.20792729893,5.33307004117,1.79124540214,-6.04098797163,-0.278547538352E-01
13,3.76296363352,3.86910000000,4.28006910561,4.04205755022,0.241715453602E-01
14,3.84215840426,3.86910000000,4.27458031804,-6.29950399995,-0.186198327513E-02
15,3.92101580870,3.86910000000,4.26544531585,-13.1787186081,-0.149407483221E-01
16,3.99936806117,3.86910000000,4.25268353566,-18.0372949697,-0.217082395824E-01
17,4.07704845080,3.86910000000,4.23632213086,-22.1618935591,-0.262345910968E-01
18,4.15389169626,3.86910000000,4.21639591375,-26.4046034583,-0.303746292063E-01
19,4.22973429740,3.86910000000,4.19294728155,-31.0513223104,-0.332800665158E-01
20,4.30441488318,3.86910000000,4.16602612614,-35.8119182500,-0.291549165168E-01
21,4.37777455497,3.86910000000,4.13568972794,-40.4016997902,-0.778321502634E-02
22,4.44965722467,3.86910000000,4.10200263400,-46.2445261306,-0.310003401138E-02
23,4.51990994680,3.86910000000,4.06503652069,-53.4412941114,-0.518086489235E-01
24,4.58838324396,3.86910000000,4.02487004117,-57.2987467519,-0.856932075131E-01
25,4.65493142482,3.86910000000,3.98158865806,-55.8522788142,-0.889870187182E-01
26,4.71941289417,3.86910000000,3.93528446159,-50.7090582705,-0.780043773212E-01
27,4.78169045415,3.86910000000,3.88605597366,-44.3214764372,-0.649960995030E-01
28,4.84163159616,3.86910000000,3.83400793820,-38.5460771683,-0.566950407240E-01
29,4.89910878284,3.86910000000,3.77925109834,-34.2443441560,-0.552138341801E-01
30,4.95399971943,3.86910000000,3.72190196076,-31.1874509741,-0.560954516830E-01
31,5.00618761391,3.86910000000,3.66208254777,-28.7221844803,-0.502461727951E-01
32,5.05556142560,3.86910000000,3.59992013775,-27.5261200780,-0.385644007964E-01
33,5.10201610135,3.86910000000,3.53554699427,-29.3221424069,-0.336330648668E-01
34,5.14545279907,3.86910000000,3.46910008470,-34.3980486134,-0.407810591037E-01
35,5.18577909808,3.86910000000,3.40072078879,-41.1938888414,-0.550124323243E-01
36,3.70812471149,3.94457930082,4.28006910561,11.4071586530,0.372580264219E-01
37,3.73259724152,4.01989800358,4.27458031804,6.17701858908,0.183031977468E-01
38,3.75696551962,4.09489585194,4.26544531585,2.85911849973,0.831677376430E-02
39,3.78117769718,4.16941327221,4.25268353566,0.984963437419,0.309858501437E-02
40,3.80518225771,4.24329171296,4.23632213086,0.215822043683,0.580858780088E-03
41,3.82892812646,4.31637398229,4.21639591375,0.363570554885,-0.198875198232E-03
42,3.85236477911,4.38850458232,4.19294728155,1.35352005172,0.384465456395E-03
43,3.87544234926,4.45953004006,4.16602612614,3.17649504030,0.225639824741E-02
44,3.89811173455,4.52929923395,4.13568972794,5.84881286623,0.549235062357E-02
45,3.92032470109,4.59766371537,4.10200263400,9.40062270793,0.102936112007E-01
46,3.94203398613,4.66447802455,4.06503652069,13.9096777777,0.171416833521E-01
47,3.96319339861,4.72960000000,4.02487004117,19.5761277092,0.271923156951E-01
48,3.98375791744,4.79289108106,3.98158865806,26.8024666863,0.429963951631E-01
49,4.00368378729,4.85421660267,3.93528446159,36.1970396042,0.696743151033E-01
50,4.02292861169,4.91344608190,3.88605597366,48.2680527195,0.116074075258
51,4.04145144324,4.97045349560,3.83400793820,62.1401646919,0.190476297092
52,4.05921287071,5.02511754854,3.77925109834,72.6011874600,0.274689844941
53,4.07617510295,5.07732193146,3.72190196076,69.7041527493,0.295039466393
54,4.09230204925,5.12695556858,3.66208254777,49.6103851038,0.215265240889
55,4.10755939614,5.17391285393,3.59992013775,20.0485178866,0.106533191125
56,4.12191468041,5.21809387600,3.53554699427,-11.5064652303,0.131994505911E-01
57,4.13533735819,5.25940463042,3.46910008470,-43.1086745893,-0.680311488318E-01
58,4.14779886990,5.29775721987,3.40072078879,-75.4829748841,-0.156496676595
59,3.61939347174,3.91574877335,4.28006910561,27.3615484693,0.950760779000E-01
60,3.55532355635,3.96229829165,4.27458031804,28.1763847365,0.902084393094E-01
61,3.49152657603,4.00864951102,4.26544531585,22.7557473053,0.666354015495E-01
62,3.42813827223,4.05470380950,4.25268353566,14.3622459205,0.391627322202E-01
63,3.36529351689,4.10036319692,4.23632213086,5.54885823512,0.154559950121E-01
64,3.30312602541,4.14553052334,4.21639591375,-2.33149393465,-0.329649111726E-02
65,3.24176807219,4.19010968579,4.19294728155,-8.49156205075,-0.174358187545E-01
66,3.18135020914,4.23400583274,4.16602612614,-12.2280337300,-0.265129723527E-01
67,3.12200098797,4.27712556593,4.13568972794,-12.9304515714,-0.294349010007E-01
68,3.06384668658,4.31937713907,4.10200263400,-10.3935817271,-0.259094800854E-01
69,3.00701104047,4.36067065307,4.06503652069,-4.97794857927,-0.172379111223E-01
70,2.95161497941,4.40091824732,4.02487004117,2.63429118333,-0.544252777089E-02
71,2.89777637015,4.44003428660,3.98158865806,11.8384196423,0.806609464263E-02
72,2.84560976562,4.47793554333,3.93528446159,22.3273227027,0.230240116459E-01
73,2.79522616124,4.51454137463,3.88605597366,34.0866139556,0.401842724751E-01
74,2.74673275869,4.54977389391,3.83400793820,47.2654451123,0.610636068292E-01
75,2.70023273787,4.58355813659,3.77925109834,61.9526520166,0.876351238116E-01
76,2.65582503734,4.61582221960,3.72190196076,77.7686481579,0.121327954146
77,2.61360414379,4.64649749432,3.66208254777,93.1941025485,0.160241484058
78,2.57365989106,4.67551869268,3.59992013775,105.019143242,0.194778039700
79,2.53607726891,4.70282406599,3.53554699427,109.233450531,0.208732221062
80,2.50093624228,4.72835551632,3.46910008470,103.997169709,0.193086364203
81,2.46831158106,4.75205872015,3.40072078879,91.5390656399,0.157402207655
82,3.61939347174,3.82245122665,4.28006910561,39.8355279042,0.183008415258
83,3.55532355635,3.77590170835,4.27458031804,72.8394176155,0.455233083753
84,3.49152657603,3.72955048898,4.26544531585,107.951291565,0.929514700560
85,3.42813827223,3.68349619050,4.25268353566,107.553239903,0.956145764317
86,3.36529351689,3.63783680308,4.23632213086,69.7448405723,0.479846974113
87,3.30312602541,3.59266947666,4.21639591375,32.6791761786,0.186137756197
88,3.24176807219,3.54809031421,4.19294728155,8.24712778336,0.642509167078E-01
89,3.18135020914,3.50419416726,4.16602612614,-5.78835222580,0.133320723879E-01
90,3.12200098797,3.46107443407,4.13568972794,-12.7576141177,-0.753130601623E-02
91,3.06384668658,3.41882286093,4.10200263400,-15.1144460984,-0.148199497961E-01
92,3.00701104047,3.37752934693,4.06503652069,-14.5377858078,-0.156607155600E-01
93,2.95161497941,3.33728175268,4.02487004117,-12.1346066205,-0.133017066975E-01
94,2.89777637015,3.29816571340,3.98158865806,-8.60267805307,-0.926026453866E-02
95,2.84560976562,3.26026445667,3.93528446159,-4.35336862430,-0.421715920542E-02
96,2.79522616124,3.22365862537,3.88605597366,0.392902900169,0.160039003408E-02
97,2.74673275869,3.18842610609,3.83400793820,5.51981966872,0.818498193337E-02
98,2.70023273787,3.15464186341,3.77925109834,10.9346654966,0.155473240712E-01
99,2.65582503734,3.12237778040,3.72190196076,16.5143049630,0.235980739966E-01
100,2.61360414379,3.09170250568,3.66208254777,22.1017537753,0.322717710332E-01
101,2.57365989106,3.06268130732,3.59992013775,27.5204769354,0.417978809321E-01
102,2.53607726891,3.03537593401,3.53554699427,32.5143688527,0.526308708370E-01
103,2.50093624228,3.00984448368,3.46910008470,36.5763271399,0.648947985449E-01
104,2.46831158106,2.98614127985,3.40072078879,38.6942909361,0.766733229500E-01
105,3.70812471149,3.79362069918,4.28006910561,12.4065910029,0.639913609229E-01
106,3.73259724152,3.71830199642,4.27458031804,-5.03734751254,0.969769093455E-02
107,3.75696551962,3.64330414806,4.26544531585,-34.5449283458,-0.111355658369
108,3.78117769718,3.56878672779,4.25268353566,-74.5565179490,-0.350679532445
109,3.80518225771,3.49490828704,4.23632213086,-114.194796318,-0.740894241752
110,3.82892812646,3.42182601771,4.21639591375,-119.992013186,-0.832269755637
111,3.85236477911,3.34969541768,4.19294728155,-78.8370342865,-0.387156916366
112,3.87544234926,3.27866995994,4.16602612614,-21.2513516747,0.873510305217E-01
113,3.89811173455,3.20890076605,4.13568972794,28.0440666025,0.505614044296
114,3.92032470109,3.14053628463,4.10200263400,42.8017869628,0.573885473879
115,3.94203398613,3.07372197545,4.06503652069,23.2400596195,0.298333111995
116,3.96319339861,3.00860000000,4.02487004117,-3.61781597293,0.825940258423E-01
117,3.98375791744,2.94530891894,3.98158865806,-26.3531449593,-0.481707790756E-01
118,4.00368378729,2.88398339733,3.93528446159,-43.1581194999,-0.145258616002
119,4.02292861169,2.82475391810,3.88605597366,-50.1166786526,-0.201495462898
120,4.04145144324,2.76774650440,3.83400793820,-43.1878079798,-0.176896663237
121,4.05921287071,2.71308245146,3.77925109834,-27.2315248900,-0.101948584617
