 node_id,x_nm,y_nm,z_nm,phi_mV,charge_C_m2
1,8.70939435171,-1.52961581910,6.97153051242,16.6819079290,-0.374684347084E-01
2,10.5367091029,-1.52961581910,5.84218788803,-33.0490201843,-0.251117272072
3,9.27406566390,0.208263782364,5.84218788803,2.11000930414,-0.333031830553E-01
4,7.23106566390,-0.455547157040,5.84218788803,-73.4190828534,-0.489154261765
5,7.23106566390,-2.60368448116,5.84218788803,112.877620660,0.840872694075
6,9.27406566390,-3.26749542056,5.84218788803,-50.5618423535,-0.224138020384
7,8.70939435171,-1.52961581910,2.88553051242,-28.6172943280,0.196802766529E-01
8,6.88207960050,-1.52961581910,4.01487313682,54.9925721090,0.257597649769
9,8.14472303951,-3.26749542056,4.01487313682,-99.6613759521,-0.518187610738
10,10.1877230395,-2.60368448116,4.01487313682,-63.9415869271,-0.351549423724
11,10.1877230395,-0.455547157040,4.01487313682,39.9824939091,0.188073361417
12,8.14472303951,0.208263782364,4.01487313682,-10.5334518370,-0.137770773444E-01
13,8.85065061349,-1.52961581910,6.96664132111,26.1635974629,-0.229928831200E-01
14,8.99123078237,-1.52961581910,6.95199714826,60.6887533434,0.376672984150
15,9.13046200146,-1.52961581910,6.92766808506,67.0107544262,0.400367515646
16,9.26767787028,-1.52961581910,6.89377057737,39.8699093495,0.843401871680E-01
17,9.40222163442,-1.52961581910,6.85046686837,22.1274621734,0.260810917717E-02
18,9.53344932893,-1.52961581910,6.79796422200,12.5987159957,-0.128650992323
19,9.66073286052,-1.52961581910,6.73651393095,46.1475256835,0.983789352495E-01
20,9.78346301377,-1.52961581910,6.66641011389,105.873812150,0.572279135157
21,9.90105236705,-1.52961581910,6.58798830775,145.823604834,1.27226773715
22,10.0129381041,-1.52961581910,6.50162386174,43.1400223871,0.166880502064
23,10.1185847077,-1.52961581910,6.40773014081,-6.07599650622,-0.349795871602E-01
24,10.2174865230,-1.52961581910,6.30675654719,14.2239450937,0.247466860163
25,10.3091701776,-1.52961581910,6.19918636937,27.1200685149,0.244911058343
26,10.3931968474,-1.52961581910,6.08553446901,26.0075161224,0.266638300869
27,10.4691643566,-1.52961581910,5.96634481664,-8.77759808712,-0.107884883507
28,8.75304493716,-1.39527313087,6.96664132111,26.8085445266,0.530224274332E-01
29,8.79648659842,-1.26157344518,6.95199714826,71.8533841479,0.447201992073
30,8.83951141126,-1.12915668700,6.92766808506,99.8287437725,0.632925285032
31,8.88191344663,-0.998656640825,6.89377057737,78.0866154072,0.333450764579
32,8.92348975623,-0.870697917209,6.85046686837,43.9157108543,0.101475821961
33,8.96404134397,-0.745892963224,6.79796422200,22.7132295886,-0.165438872692
34,9.00337411833,-0.624839131094,6.73651393095,63.6864899326,0.477750873766
35,9.04129982141,-0.508115819099,6.66641011389,57.8151608772,0.386856089337
36,9.07763692993,-0.396281698413,6.58798830775,29.6187947479,0.343940304109E-01
37,9.11221152410,-0.289872039137,6.50162386174,29.3834259852,0.238315709556
38,9.14485812001,-0.189396148352,6.40773014081,1.96323378070,0.361883498083
39,9.17542046172,-0.953349324217E-01,6.30675654719,-89.3382014203,-0.580687744693
40,9.20375226911,-0.813859524241E-02,6.19918636937,-92.2553668909,-0.445990902686
41,9.22971793804,0.717755165646E-01,6.08553446901,-59.5237230347,-0.222577275404
42,9.25319318940,0.144024911192,5.96634481664,-31.4504042697,-0.138841167569
43,8.59511563537,-1.44658747163,6.96664132111,5.70966956564,0.495938311659E-01
44,8.48138388966,-1.36395652159,6.95199714826,-15.1303064690,0.746799402051E-01
45,8.36874346728,-1.28211846436,6.92766808506,-34.2776078164,0.113591120411
46,8.25773349751,-1.20146500029,6.89377057737,-56.5110481498,-0.924863072229E-01
47,8.14888530583,-1.12238215994,6.85046686837,-48.1582055761,-0.705588455641E-01
48,8.04271987083,-1.04524845641,6.79796422200,-12.4622246327,0.192696499441
49,7.93974533068,-0.970433073683,6.73651393095,17.2834669094,0.354160580897
50,7.84045455098,-0.898294099591,6.66641011389,6.28488383686,0.107632267145
51,7.74532276581,-0.829176811905,6.58798830775,-0.336084663326,-0.587016994261E-01
52,7.65480530313,-0.763412025741,6.50162386174,29.6094675453,0.283399786741
53,7.56933540542,-0.701314510186,6.40773014081,17.0651581784,0.174048973555E-02
54,7.48932215605,-0.643181481718,6.30675654719,17.1422032798,-0.203337893652E-01
55,7.41514852134,-0.589291181647,6.19918636937,36.9444527653,0.212279999503
56,7.34716951754,-0.539901544369,6.08553446901,7.18984750267,0.144457534999
57,7.28571051159,-0.495248962823,5.96634481664,-93.8467682373,-0.994450867527
58,8.59511563537,-1.61264416657,6.96664132111,20.3971073642,0.409317071478
59,8.48138388966,-1.69527511660,6.95199714826,-35.8156421392,-0.872122023556E-01
60,8.36874346728,-1.77711317384,6.92766808506,-60.4794377528,-0.442737780690
61,8.25773349751,-1.85776663791,6.89377057737,-4.57250057464,-0.884368114741E-02
62,8.14888530583,-1.93684947826,6.85046686837,50.5304410487,0.348008419996
63,8.04271987083,-2.01398318179,6.79796422200,46.7695828601,0.204258954204
64,7.93974533068,-2.08879856452,6.73651393095,28.1846704036,-0.179046810521E-01
65,7.84045455098,-2.16093753861,6.66641011389,45.2193414454,0.247785727043
66,7.74532276581,-2.23005482629,6.58798830775,57.6306429525,0.378138051639
67,7.65480530313,-2.29581961246,6.50162386174,51.7820901687,0.428620417114
68,7.56933540542,-2.35791712801,6.40773014081,17.7718604045,0.696463870939E-01
69,7.48932215605,-2.41605015648,6.30675654719,7.21345492670,0.105423403898E-01
70,7.41514852134,-2.46994045655,6.19918636937,22.0400229532,0.965045131053E-01
71,7.34716951754,-2.51933009383,6.08553446901,42.8659931246,0.243467005713
72,7.28571051159,-2.56398267538,5.96634481664,39.3067085869,-0.157422279246
73,8.75304493716,-1.66395850733,6.96664132111,30.6882512282,0.423543202214
74,8.79648659842,-1.79765819301,6.95199714826,-25.8907218243,-0.167744776523
75,8.83951141126,-1.93007495119,6.92766808506,-29.7595203056,0.815571135323E-02
76,8.88191344663,-2.06057499737,6.89377057737,-30.8756191413,-0.658516335113E-01
77,8.92348975623,-2.18853372099,6.85046686837,-24.1264551231,-0.116076052031
78,8.96404134397,-2.31333867497,6.79796422200,-12.1763688981,-0.237460498536E-01
79,9.00337411833,-2.43439250710,6.73651393095,-24.2282449919,-0.386783411484E-01
80,9.04129982141,-2.55111581910,6.66641011389,-45.4186041624,-0.800884580846E-01
81,9.07763692993,-2.66294993979,6.58798830775,-65.4606484921,-0.210269794909
82,9.11221152410,-2.76935959906,6.50162386174,-78.9253391990,-0.384310213401
83,9.14485812001,-2.86983548985,6.40773014081,-59.2435161034,-0.467363312165
84,9.17542046172,-2.96389670578,6.30675654719,9.19349355830,0.115657418038
85,9.20375226911,-3.05109304296,6.19918636937,17.3094075503,0.713200044428E-01
86,9.22971793804,-3.13100715476,6.08553446901,-9.73500303024,-0.136029217508
87,9.25319318940,-3.20325654939,5.96634481664,-32.5291039128,-0.150896156473
88,10.5834430729,-1.44658747163,5.73778738396,-60.5098311605,-0.600179541937
89,10.6212073094,-1.36395652159,5.62951354493,-32.1837461290,-0.642955267915E-01
90,10.6498210621,-1.28211846436,5.51788460051,-49.4054004518,-0.199618410868
91,10.6691473772,-1.20146500029,5.40343483878,-36.0339024185,-0.702384347170E-01
92,10.6790937536,-1.12238215994,5.28671204905,-8.61020494770,0.103333843001
93,10.6796125849,-1.04524845641,5.16827489999,-18.2429407350,-0.206724656303
94,10.6707013881,-0.970433073683,5.04869026569,-13.6810445853,-0.206450874249
95,10.6524028145,-0.898294099591,4.92853051242,19.8987896636,0.590159958318E-01
96,10.6248044464,-0.829176811905,4.80837075916,60.5631958210,0.263273088731
97,10.5880383775,-0.763412025741,4.68878612485,89.1796698736,0.393469564308
98,10.5422805807,-0.701314510186,4.57034897579,100.460112565,0.706704126945
99,10.4877500659,-0.643181481718,4.45362618606,46.9154020997,0.109937610886E-01
100,10.4247078318,-0.589291181647,4.33917642433,56.9482090562,0.173061319002
101,10.3534556165,-0.539901544369,4.22754747992,76.3966821774,0.341820957007
102,10.2743344536,-0.495248962823,4.11927364089,61.4513937832,0.245972171670
103,10.5834430729,-1.61264416657,5.73778738396,-13.9537926230,-0.268274442980
104,10.6212073094,-1.69527511660,5.62951354493,54.4558086746,0.220644373536
105,10.6498210621,-1.77711317384,5.51788460051,110.530151286,0.664091932600
106,10.6691473772,-1.85776663791,5.40343483878,88.8411546604,0.428339996883
107,10.6790937536,-1.93684947826,5.28671204905,26.6710657178,-0.357165751873E-01
108,10.6796125849,-2.01398318179,5.16827489999,-10.6885619113,-0.317720306248
109,10.6707013881,-2.08879856452,5.04869026569,0.130188405350,0.127892595029
110,10.6524028145,-2.16093753861,4.92853051242,-47.4964962636,-0.532892153870
111,10.6248044464,-2.23005482629,4.80837075916,-45.3623179862,-0.489930462610
112,10.5880383775,-2.29581961246,4.68878612485,-4.09651267246,0.308864496931E-01
113,10.5422805807,-2.35791712801,4.57034897579,8.20479014719,0.294384409145
114,10.4877500659,-2.41605015648,4.45362618606,-30.3249959537,-0.900310183677E-04
115,10.4247078318,-2.46994045655,4.33917642433,-54.8861707183,-0.929081463130E-01
116,10.3534556165,-2.51933009383,4.22754747992,-56.8245550007,-0.768135190475E-01
117,10.2743344536,-2.56398267538,4.11927364089,-62.4348128556,-0.206305629327
118,9.36747190574,0.227053258660,5.73778738396,45.4193686454,0.319916848370
119,9.45772840009,0.237434814069,5.62951354493,64.3242537771,0.479913452027
120,9.54440315354,0.239358759497,5.51788460051,46.6790093583,0.210212706734
121,9.62708131592,0.232815886391,5.40343483878,29.1697026060,0.167644005067
122,9.70536716589,0.217837510813,5.28671204905,2.08835153039,0.285503101485E-01
123,9.77888600497,0.194495323554,5.16827489999,-19.3193892022,-0.709593615079E-01
124,9.84728595096,0.162901047003,5.04869026569,-41.5573448376,-0.214872815523
125,9.91023962214,0.123205900409,4.92853051242,-56.4271650123,-0.137483419955
126,9.96744570423,0.755998761005E-01,4.80837075916,-66.0461141181,-0.261888847292
127,10.0186303925,0.203108301342E-01,4.68878612485,-43.5988786023,-0.123188256861
128,10.0635487025,-0.423966082953E-01,4.57034897579,-16.4335312491,-0.123503985793E-01
129,10.1019856423,-0.112222303443,4.45362618606,-3.84018039624,-0.702609090355E-01
130,10.1337572416,-0.188832049552,4.33917642433,16.1174229139,0.123164330193
131,10.1587114326,-0.271859170454,4.22754747992,17.7247043505,0.516812033874E-02
132,10.1767287773,-0.360906274591,4.11927364089,28.5325897320,0.975245133451E-01
133,9.20954260395,0.278367599424,5.73778738396,12.4789399697,0.741597650624E-01
134,9.14262569133,0.339817890480,5.62951354493,20.0999301861,0.996436686354E-01
135,9.07363520956,0.392320536852,5.51788460051,45.3562385209,0.371054801016
136,9.00290136680,0.435624245853,5.40343483878,28.4882526848,0.408948926514
137,8.93076271549,0.469521753539,5.28671204905,-38.0700222593,-0.123396402244E-01
138,8.85756453184,0.493850816738,5.16827489999,-76.3769336031,-0.315072906238
139,8.78365716331,0.508494989593,5.04869026569,-61.3451729383,-0.205749420044
140,8.70939435171,0.513384180901,4.92853051242,-41.5425668744,-0.138866776081
141,8.63513154011,0.508494989593,4.80837075916,-32.3215388291,-0.146621633033
142,8.56122417158,0.493850816738,4.68878612485,-18.4254740220,-0.742281296637E-01
143,8.48802598793,0.469521753539,4.57034897579,-2.84715005963,0.545497873439E-01
144,8.41588733661,0.435624245853,4.45362618606,-2.37508975407,0.102095305132E-01
145,8.34515349386,0.392320536852,4.33917642433,-4.14247293994,-0.235654450803E-02
146,8.27616301208,0.339817890480,4.22754747992,-6.06583986779,-0.659234280059E-02
147,8.20924609947,0.278367599424,4.11927364089,-8.35580883668,-0.100505394356E-01
148,7.24205992614,-0.360906274591,5.73778738396,-41.3039636453,-0.240393249968E-01
149,7.26007727083,-0.271859170454,5.62951354493,-37.6469783853,0.938300040178E-01
150,7.28503146179,-0.188832049552,5.51788460051,-52.2760344665,0.113400478953
151,7.31680306113,-0.112222303443,5.40343483878,-83.0234878239,-0.540631429404E-01
