,keq_m
0,1.0682839034778088e-07
1,6.819308525576218e-08
2,5.87528568008199e-08
3,5.191947559315674e-08
4,2.686091819669841e-08
5,1.754509913908341e-08
6,1.6845235572548862e-08
7,8.807239759592297e-08
8,1.7009916448753398e-08
9,9.562691212061327e-09
10,4.188988757092763e-08
11,2.3022647508400322e-08
12,1.3362597921566289e-08
13,5.933824796822424e-08
14,2.46322554916665e-07
15,2.8316259577368623e-08
16,6.112140471344113e-08
17,5.156626872066976e-07
18,1.963965114982929e-08
19,4.381404055673057e-08
20,2.886068762778033e-08
21,3.646178476602778e-08
22,8.441615181207331e-08
23,3.8320465155877966e-08
24,5.4281051532505633e-08
25,2.2574597843277444e-08
26,2.8136813354335838e-08
27,6.804802857519489e-08
28,2.9664883963712097e-08
29,1.8270720685872804e-07
30,5.596971995724501e-08
31,8.124445177694143e-08
32,1.51673395086992e-08
33,2.807658757258057e-08
34,1.1758508919791468e-08
35,1.774501341692475e-08
36,7.220771209515331e-08
37,4.469065435083509e-08
38,8.691513860439378e-07
39,3.5342908351307965e-08
40,4.1848237427138894e-08
41,5.126736067733919e-08
42,6.351736469318463e-08
43,2.192838324106364e-08
44,2.3891887242622337e-08
45,5.284915773812534e-08
46,1.6265954933736345e-08
47,5.7415393680192277e-08
48,1.1331304540862507e-08
49,3.8317179531602966e-08
50,2.0190364131466334e-08
