,keq_m
0,0.11366671713014538
1,0.11733870142908935
2,7.335519439994185
3,0.005540704492994863
4,0.06791231103289183
5,0.3705620702319138
6,0.07508584914564054
7,27.658745233446307
8,0.4762036982986091
9,0.013066006187611957
10,0.07758698540268043
11,0.14131672943131424
12,3.2724652550693403
13,15.086799063544932
14,0.6879805056230934
15,107.05501193530012
16,991.3552190713257
17,2.7058766697995766
18,0.07562417931819361
19,0.055441123303576784
20,2026.9996763678628
21,23.933830891136328
22,1.2517891268749974
23,208.9158650525451
24,0.018220069919663642
25,0.01064129555226132
26,0.07449957879152631
27,0.08220867850197641
28,0.06303569410619529
29,0.11081514485299188
30,3.7989532832615183
31,0.9857219206517952
32,0.3885647514403955
33,7.841335176448884
34,0.20010649147169754
35,0.2512885259501623
36,0.01490574580946663
37,0.2921261373375226
38,10.661743152492004
39,0.7074516059660352
40,0.05302967825032998
41,201.2513600503177
42,0.22915320441311804
43,0.04721636311075909
44,5.151524709163355
45,2.645547097647288
46,0.1953662450399169
47,0.5136816202984149
48,35.51207019000228
49,0.0073691064916780015
50,103.26820015145886
